id,dim1,dim2,dim3,cid
470,22,22,20,1
471,22,22,20,1
472,21,20,18,1
473,20,19,17,1
474,20,19,17,1
475,20,19,17,1
476,21,20,18,1
477,22,21,19,1
478,20,19,17,1
479,21,20,18,1
480,20,19,17,1
481,20,19,17,1
482,20,19,17,1
483,20,19,15,1
484,19,18,14,1
485,17,16,12,1
486,17,16,12,1
487,18,17,13,1
488,19,18,14,1
489,20,19,15,1
490,20,19,15,1
491,19,18,14,1
492,18,17,13,1
493,18,17,13,1
494,18,17,13,1
495,17,16,12,1
496,17,16,12,1
497,17,16,12,1
498,17,16,12,1
499,17,16,12,1
500,17,16,12,1
501,17,16,12,1
502,17,16,12,1
503,16,15,11,1
504,15,14,10,1
505,15,14,10,1
506,15,14,10,1
507,15,14,10,1
508,15,14,10,1
509,15,14,10,1
510,15,14,10,1
511,15,14,10,1
512,14,13,9,1
513,26,28,25,1
514,25,27,24,1
515,23,25,22,1
516,23,25,22,1
517,24,26,23,1
518,27,29,26,1
519,25,27,24,1
520,24,26,23,1
521,23,25,22,1
522,22,24,21,1
523,20,22,19,1
524,20,22,19,1
525,23,25,22,1
526,27,29,26,1
527,26,28,25,1
528,23,25,22,1
529,22,24,21,1
530,24,25,23,1
531,25,25,23,1
532,24,24,22,1
533,24,24,22,1
534,24,24,22,1
535,23,23,21,1
536,21,21,19,1
537,21,21,19,1
538,23,23,21,1
539,23,23,21,1
540,22,22,20,1
541,20,20,18,1
542,22,22,20,1
543,22,22,20,1
544,22,22,20,1
545,22,22,20,1
546,22,22,20,1
547,22,22,20,1
548,19,19,17,1
549,19,19,17,1
550,19,19,17,1
551,20,20,18,1
552,20,20,18,1
553,21,21,19,1
554,22,24,21,1
555,22,24,21,1
556,22,24,21,1
557,22,24,21,1
558,22,24,21,1
559,23,25,22,1
560,22,24,21,1
561,20,22,19,1
562,20,22,19,1
563,22,24,21,1
564,25,27,24,1
565,24,25,20,1
566,27,28,23,1
567,23,23,18,1
568,26,25,21,1
569,28,25,22,1
570,38,34,31,1
571,31,24,16,1
572,55,48,40,1
585,55,46,39,1
586,47,38,31,1
587,34,25,18,1
588,29,24,15,1
589,32,28,19,1
590,32,27,21,1
591,25,20,16,1
592,31,26,23,1
593,30,25,22,1
594,29,26,21,1
595,28,24,20,1
596,24,23,19,1
597,23,22,18,1
598,23,23,21,1
599,24,24,22,1
600,23,22,20,1
601,20,19,17,1
602,19,18,16,1
603,19,18,16,1
604,21,20,18,1
605,22,21,19,1
606,21,20,18,1
607,21,20,18,1
608,21,20,18,1
609,19,18,16,1
610,19,18,16,1
611,20,19,16,1
612,20,19,15,1
613,17,16,12,1
614,16,15,11,1
615,18,17,13,1
616,21,20,16,1
617,20,19,15,1
618,20,19,15,1
619,19,18,14,1
620,18,17,13,1
621,18,17,13,1
622,17,16,12,1
623,17,16,12,1
624,17,16,12,1
625,17,16,12,1
626,17,16,12,1
627,17,16,12,1
628,17,16,12,1
629,18,17,13,1
630,17,16,12,1
631,17,16,12,1
632,16,15,11,1
633,15,14,10,1
634,15,14,10,1
635,15,14,10,1
636,15,14,10,1
637,14,13,9,1
638,14,13,9,1
639,14,13,9,1
640,13,12,8,1
641,26,28,25,1
642,25,27,24,1
643,24,26,23,1
644,24,26,23,1
645,24,26,23,1
646,25,27,24,1
647,23,25,22,1
648,23,25,22,1
649,22,24,21,1
650,20,22,19,1
651,20,22,19,1
652,19,21,18,1
653,22,24,21,1
654,25,27,24,1
655,24,26,23,1
656,22,24,21,1
657,25,27,24,1
658,26,27,24,1
659,24,24,22,1
660,24,24,22,1
661,24,24,22,1
662,23,23,21,1
663,23,23,21,1
664,21,21,19,1
665,21,21,19,1
666,23,23,21,1
667,23,23,21,1
668,22,22,20,1
669,20,20,18,1
670,22,22,20,1
671,22,22,20,1
672,22,22,20,1
673,22,22,20,1
674,22,22,20,1
675,22,22,20,1
676,20,20,18,1
677,20,20,18,1
678,21,21,19,1
679,21,21,19,1
680,22,22,20,1
681,22,22,20,1
682,22,24,21,1
683,22,24,21,1
684,22,24,21,1
685,22,24,21,1
686,22,24,21,1
687,22,24,21,1
688,21,23,20,1
689,21,23,20,1
690,21,23,20,1
691,23,25,22,1
692,24,26,23,1
693,27,28,23,1
694,27,28,23,1
695,22,21,16,1
696,27,25,21,1
697,33,30,26,1
698,45,41,37,1
699,41,34,26,1
700,61,54,46,1
713,58,52,46,1
714,63,56,50,1
715,30,24,18,1
716,35,28,21,1
717,30,23,15,1
718,39,32,26,1
719,34,26,23,1
720,43,35,33,1
721,37,29,27,1
722,29,25,21,1
723,28,24,20,1
724,24,22,18,1
725,23,22,19,1
726,24,24,22,1
727,25,25,23,1
728,25,24,22,1
729,22,21,19,1
730,20,19,17,1
731,20,19,17,1
732,21,20,18,1
733,22,21,19,1
734,21,20,18,1
735,21,20,18,1
736,21,20,18,1
737,19,18,16,1
738,19,18,16,1
739,20,19,16,1
740,19,18,14,1
741,17,16,12,1
742,17,16,12,1
743,18,17,13,1
744,20,19,15,1
