id,dim_0,dim_1,dim_2
304,20.000000,22.000000,19.000000
305,20.000000,22.000000,19.000000
306,23.000000,25.000000,22.000000
307,24.000000,26.000000,23.000000
308,20.000000,22.000000,19.000000
309,25.000000,26.000000,22.000000
310,26.000000,27.000000,22.000000
311,26.000000,27.000000,21.000000
312,25.000000,26.000000,20.000000
313,25.000000,26.000000,19.000000
314,25.000000,26.000000,18.000000
315,38.000000,34.000000,31.000000
316,31.000000,26.000000,23.000000
317,22.000000,17.000000,13.000000
318,38.000000,31.000000,25.000000
319,71.000000,64.000000,56.000000
320,76.000000,68.000000,61.000000
321,84.000000,80.000000,77.000000
322,108.000000,104.000000,101.000000
323,120.000000,116.000000,113.000000
324,107.000000,103.000000,100.000000
325,79.000000,75.000000,72.000000
326,62.000000,55.000000,50.000000
327,48.000000,37.000000,31.000000
328,33.000000,22.000000,16.000000
329,29.000000,18.000000,12.000000
330,33.000000,22.000000,16.000000
331,31.000000,20.000000,14.000000
332,31.000000,21.000000,15.000000
333,36.000000,29.000000,22.000000
334,42.000000,35.000000,29.000000
335,37.000000,32.000000,28.000000
336,30.000000,25.000000,22.000000
337,27.000000,22.000000,19.000000
338,23.000000,24.000000,18.000000
339,23.000000,24.000000,18.000000
340,22.000000,23.000000,18.000000
341,21.000000,22.000000,17.000000
342,20.000000,20.000000,18.000000
343,20.000000,20.000000,18.000000
344,19.000000,18.000000,16.000000
345,19.000000,18.000000,16.000000
346,20.000000,19.000000,17.000000
347,21.000000,20.000000,18.000000
348,21.000000,20.000000,18.000000
349,21.000000,20.000000,18.000000
350,20.000000,19.000000,17.000000
351,20.000000,19.000000,17.000000
352,20.000000,19.000000,17.000000
353,21.000000,20.000000,18.000000
354,21.000000,20.000000,18.000000
355,19.000000,18.000000,15.000000
356,18.000000,17.000000,13.000000
357,18.000000,17.000000,13.000000
358,18.000000,17.000000,13.000000
359,18.000000,17.000000,13.000000
360,18.000000,17.000000,13.000000
361,20.000000,19.000000,15.000000
362,20.000000,19.000000,15.000000
363,19.000000,18.000000,14.000000
364,19.000000,18.000000,14.000000
365,18.000000,17.000000,13.000000
366,18.000000,17.000000,13.000000
367,16.000000,15.000000,11.000000
368,16.000000,15.000000,11.000000
369,16.000000,15.000000,11.000000
370,16.000000,15.000000,11.000000
371,16.000000,15.000000,11.000000
372,16.000000,15.000000,11.000000
373,16.000000,15.000000,11.000000
374,15.000000,14.000000,10.000000
375,15.000000,14.000000,10.000000
376,14.000000,13.000000,9.000000
377,14.000000,13.000000,9.000000
378,14.000000,13.000000,9.000000
379,14.000000,13.000000,9.000000
380,14.000000,13.000000,9.000000
381,14.000000,13.000000,9.000000
382,14.000000,13.000000,9.000000
383,14.000000,13.000000,9.000000
384,14.000000,13.000000,9.000000
385,27.000000,29.000000,26.000000
386,27.000000,29.000000,26.000000
387,24.000000,26.000000,23.000000
388,24.000000,26.000000,23.000000
389,25.000000,27.000000,24.000000
390,27.000000,29.000000,26.000000
391,24.000000,26.000000,23.000000
392,23.000000,25.000000,22.000000
393,23.000000,25.000000,22.000000
394,22.000000,24.000000,21.000000
395,21.000000,23.000000,20.000000
396,22.000000,24.000000,21.000000
397,26.000000,28.000000,25.000000
398,24.000000,26.000000,23.000000
399,21.000000,23.000000,20.000000
400,20.000000,22.000000,19.000000
401,23.000000,25.000000,22.000000
402,25.000000,26.000000,24.000000
403,29.000000,29.000000,27.000000
404,25.000000,25.000000,23.000000
405,22.000000,22.000000,20.000000
406,24.000000,24.000000,22.000000
407,22.000000,22.000000,20.000000
408,22.000000,22.000000,20.000000
409,22.000000,22.000000,20.000000
410,23.000000,23.000000,21.000000
411,23.000000,23.000000,21.000000
412,22.000000,22.000000,20.000000
413,22.000000,22.000000,20.000000
414,23.000000,23.000000,21.000000
415,23.000000,23.000000,21.000000
416,23.000000,23.000000,21.000000
417,23.000000,23.000000,21.000000
418,23.000000,23.000000,21.000000
419,23.000000,23.000000,21.000000
420,20.000000,20.000000,18.000000
421,20.000000,20.000000,18.000000
422,20.000000,20.000000,18.000000
423,20.000000,20.000000,18.000000
424,20.000000,20.000000,18.000000
425,21.000000,21.000000,19.000000
426,22.000000,24.000000,21.000000
427,23.000000,25.000000,22.000000
428,23.000000,25.000000,22.000000
429,22.000000,24.000000,21.000000
430,20.000000,22.000000,19.000000
431,21.000000,23.000000,20.000000
432,21.000000,23.000000,20.000000
433,20.000000,22.000000,19.000000
434,22.000000,24.000000,21.000000
435,23.000000,25.000000,22.000000
436,23.000000,25.000000,22.000000
437,23.000000,25.000000,20.000000
438,26.000000,27.000000,22.000000
439,26.000000,26.000000,21.000000
440,26.000000,26.000000,21.000000
441,24.000000,23.000000,17.000000
442,27.000000,26.000000,20.000000
443,36.000000,30.000000,25.000000
444,33.000000,27.000000,21.000000
445,43.000000,37.000000,31.000000
446,71.000000,64.000000,57.000000
447,100.000000,93.000000,85.000000
448,75.000000,68.000000,61.000000
449,83.000000,81.000000,77.000000
450,87.000000,85.000000,81.000000
451,104.000000,102.000000,98.000000
452,95.000000,92.000000,89.000000
453,60.000000,57.000000,54.000000
454,62.000000,56.000000,51.000000
455,70.000000,60.000000,54.000000
456,48.000000,39.000000,32.000000
457,34.000000,24.000000,17.000000
458,27.000000,17.000000,11.000000
