id,dim1,dim2,dim3,cid
481,20,19,17,0
482,20,19,17,0
483,20,19,15,0
484,19,18,14,0
485,17,16,12,0
486,17,16,12,0
487,18,17,13,0
488,19,18,14,0
489,20,19,15,0
490,20,19,15,0
491,19,18,14,0
492,18,17,13,0
493,18,17,13,0
494,18,17,13,0
495,17,16,12,0
496,17,16,12,0
497,17,16,12,0
498,17,16,12,0
499,17,16,12,0
500,17,16,12,0
501,17,16,12,0
502,17,16,12,0
503,16,15,11,0
504,15,14,10,0
505,15,14,10,0
506,15,14,10,0
507,15,14,10,0
508,15,14,10,0
509,15,14,10,0
510,15,14,10,0
511,15,14,10,0
512,14,13,9,0
513,26,28,25,0
514,25,27,24,0
515,23,25,22,0
516,23,25,22,0
517,24,26,23,0
518,27,29,26,0
519,25,27,24,0
520,24,26,23,0
521,23,25,22,0
522,22,24,21,0
523,20,22,19,0
524,20,22,19,0
525,23,25,22,0
526,27,29,26,0
527,26,28,25,0
528,23,25,22,0
529,22,24,21,0
530,24,25,23,0
531,25,25,23,0
532,24,24,22,0
533,24,24,22,0
534,24,24,22,0
535,23,23,21,0
536,21,21,19,0
537,21,21,19,0
538,23,23,21,0
539,23,23,21,0
540,22,22,20,0
541,20,20,18,0
542,22,22,20,0
543,22,22,20,0
544,22,22,20,0
545,22,22,20,0
546,22,22,20,0
547,22,22,20,0
548,19,19,17,0
549,19,19,17,0
550,19,19,17,0
551,20,20,18,0
552,20,20,18,0
553,21,21,19,0
554,22,24,21,0
555,22,24,21,0
556,22,24,21,0
557,22,24,21,0
558,22,24,21,0
559,23,25,22,0
560,22,24,21,0
561,20,22,19,0
562,20,22,19,0
563,22,24,21,0
564,25,27,24,0
565,24,25,20,0
566,27,28,23,0
567,23,23,18,0
568,26,25,21,0
569,28,25,22,0
570,38,34,31,0
571,31,24,16,0
572,55,48,40,0
573,98,91,83,2
574,95,88,80,2
575,85,78,70,0
576,75,69,61,0
577,93,92,88,2
578,105,104,100,2
579,99,98,94,2
580,93,92,88,2
581,79,78,74,0
582,78,73,68,0
583,96,87,80,2
584,76,67,60,0
585,55,46,39,0
586,47,38,31,0
587,34,25,18,0
588,29,24,15,0
589,32,28,19,0
590,32,27,21,0
591,25,20,16,0
592,31,26,23,0
593,30,25,22,0
594,29,26,21,0
595,28,24,20,0
596,24,23,19,0
597,23,22,18,0
598,23,23,21,0
599,24,24,22,0
600,23,22,20,0
601,20,19,17,0
602,19,18,16,0
603,19,18,16,0
604,21,20,18,0
605,22,21,19,0
606,21,20,18,0
607,21,20,18,0
608,21,20,18,0
